
Enter the name of the file to analyze test.txt
Word               Frequency
the                   11
a                      6
enter                  6
word                   6
height                 4
of                     4
error                  3
is                     3
to                     3
tree                   3
define                 2
file                   2
h                      2
actual                 1
analyze                1
at                     1
balanced               1
be                     1
between                1
char                   1
does                   1
each                   1
endif                  1
fatalerror             1
hello                  1
ideal                  1
ifndef                 1
in                     1
msg                    1
name                   1
not                    1
occur                  1
or                     1
perfectly              1
prompt                 1
quit                   1
ratio                  1
size                   1
this                   1
void                   1
would                  1

The number of probes divided by the number of searches is 1.000000

Qsort performed 245 comparisons
Ideally it should have performed 219 comparisons(nlogn)
